date,none,p1_cod,p1_trophies,p1_crowns,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p2_cod,p2_trophies,p2_crowns,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_7,p2_8

20231006T000000.000Z,72000006,G82P9QJRR,8758,2,26000047,26000002,26000041,26000056,26000064,26000065,26000058,28000001,920CU8GL,8708,1,26000085,28000007,26000034,26000015,27000012,28000012,28000015,26000087
20231006T000000.000Z,72000006,LLPPYVV0V,8813,2,26000065,26000021,27000004,26000002,28000011,26000014,28000014,26000030,9LGGYP0R,8783,0,26000000,28000010,26000015,28000009,26000023,28000012,28000015,27000009
20231006T000000.000Z,72000006,P22L8PCCQ,8313,0,26000064,26000065,26000021,27000006,28000014,26000002,28000011,26000030,2Y00U0UG,8355,1,26000064,26000072,26000043,26000044,26000059,26000025,28000015,28000001
20231006T000000.000Z,72000006,PUYVVGQC0,8873,1,26000064,26000049,26000044,26000018,26000027,26000055,28000008,26000056,2L2YPY9R,8829,0,26000064,28000001,26000017,26000021,28000012,26000042,26000055,26000018
20231006T000000.000Z,72000006,Q0U9GR2VG,8025,1,26000008,26000041,26000055,26000017,26000064,26000067,26000059,26000018,889CRCRQ2,8095,2,26000047,26000059,26000057,28000000,27000012,26000052,28000001,28000015
20231006T000000.000Z,72000006,YGCV0VY,8502,0,26000049,28000007,27000010,26000055,26000012,26000046,26000072,28000012,2Q2CY88GC,8532,1,26000024,26000050,28000015,26000061,26000044,26000069,28000007,27000009
20231006T000000.000Z,72000323,2VGGLQ900,0,0,26000000,26000014,28000000,26000084,27000004,26000006,26000032,28000011,2JPRUVYLQ,30,1,28000004,27000006,26000041,26000030,26000000,26000026,28000011,28000003
20231006T000000.000Z,72000323,2YVC2L2RV,30,3,26000000,26000012,28000005,28000001,26000037,26000005,28000010,26000006,298RUY2C,0,1,26000033,26000031,26000041,26000017,26000011,28000008,28000002,26000003
20231006T000000.000Z,72000323,8LUVRRVVV,0,0,28000015,26000035,28000005,28000012,26000034,26000063,26000037,26000006,2PYR0R2,30,1,26000049,26000085,28000000,28000012,26000033,26000041,26000008,26000080
20231006T000000.000Z,72000323,CYPJL28Q,0,1,26000024,26000002,26000084,28000015,26000050,26000087,28000000,26000061,8VUCC2U,30,2,26000008,26000006,26000039,26000080,26000029,27000009,28000000,28000008
20231006T000000.000Z,72000323,G0LL2QGL,30,1,26000049,26000042,26000056,26000002,26000064,28000001,26000055,26000011,8UJC8PY9P,0,0,26000033,26000042,26000027,26000018,28000008,26000064,26000003,28000001
20231006T000000.000Z,72000323,JRPY08J2Y,30,2,26000024,28000017,26000010,26000018,28000011,26000064,26000049,26000084,998J9YUG2,0,1,26000024,26000040,26000012,28000004,26000049,26000026,26000055,26000016
20231006T000000.000Z,72000323,PCR8VR2C,30,1,26000000,26000037,28000010,26000034,26000015,28000005,28000012,26000023,G2RRQYJJ,0,0,26000048,26000009,28000007,26000080,26000018,28000012,26000083,28000015
20231006T000000.000Z,72000323,PY8VPLJJL,30,1,26000000,26000021,26000064,28000014,26000010,26000030,28000011,27000006,8QYCQC0LV,0,0,26000000,26000021,28000011,26000045,28000012,26000010,28000014,27000004
20231006T000000.000Z,72000323,Q0RQRUCJ,0,0,26000047,26000057,26000080,28000000,26000059,27000012,28000015,28000001,9CLRQLR0,30,1,26000064,28000014,26000021,26000002,28000011,28000018,27000003,26000030
